,STNCODE,STNNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,STNTYPE,STFIPS,OBJECTID_1,OBJECTID,type,coordinates
201,HMI,"Hammond-Whiting, Indiana",1135 South Calumet Ave., ,Hammond,IN,46320-1044,RAIL,18,202,210,Point,"[-87.50874300072365, 41.693080999709565]"
202,HMT,"Hemet (Devonshire Ave), California",308 East Devonshire Avenue,Simpson Senior Center,Hemet,CA,92543-2906,BUS,06,203,211,Point,"[-117.00547800014756, 33.74717300037331]"
203,HMW,"Homewood, Illinois",18015 Park Ave., ,Homewood,IL,60430,RAIL,17,204,212,Point,"[-87.66850999905667, 41.56235100003391]"
204,HNF,"Hanford, California",200 Santa Fe Avenue #A, ,Hanford,CA,93230-4554,RAIL,06,205,213,Point,"[-119.65077999983829, 36.32621400031626]"
205,HOL,"Hollywood, Florida",3001 Hollywood Blvd, ,Hollywood,FL,33021,RAIL,12,206,214,Point,"[-80.16854100036225, 26.010687000034736]"
206,HOM,"Holland, Michigan",171 Lincoln Ave., ,Holland,MI,49423,RAIL,26,207,215,Point,"[-86.09777800006907, 42.789313999768595]"
207,HOO,"Hood River, Oregon",600 E. Marina Way,Greyhound Station,Hood River,OR,97031,BUS,41,208,216,Point,"[-121.52261399957294, 45.70120999975513]"
208,HOS,"Houston, Texas",902 Washington Ave., ,Houston,TX,77002,RAIL,48,209,217,Point,"[-95.36697400022136, 29.76718900012707]"
209,HPT,"High Point, North Carolina",100 West High St, ,High Point,NC,27260,RAIL,37,210,218,Point,"[-80.00583599901046, 35.95750799945666]"
210,HTN,"Hammonton, New Jersey",Egg Harbor Rd & Line St.,New Jersey Transit Station,Hammonton,NJ,08037,OTHER,34,211,219,Point,"[-74.80049000909679, 39.63304001918488]"
211,HUD,"Hudson, New York",69 South Front St., ,Hudson,NY,12534,RAIL,36,212,220,Point,"[-73.79843899983416, 42.253082000373134]"
212,KTC,"Kettleman City, California",3300 Hubert Way,I-5 & Hwy 41 (Carl's Jr Restaurant),Kettleman City,CA,93239,BUS,06,213,221,Point,"[-119.9594880010617, 35.984176999908335]"
213,KTR,"Kingstree, South Carolina",101 East Main St., ,Kingstree,SC,29556-3425,RAIL,45,214,222,Point,"[-79.82906299942367, 33.664378999790614]"
214,KWD,"Kirkwood, Missouri",110 West Argonne Dr., ,Kirkwood,MO,63122-4202,RAIL,29,215,223,Point,"[-90.40759299995038, 38.58088300010602]"
215,LAB,"Latrobe, Pennsylvania",329 McKinley Ave, ,Latrobe,PA,15650,RAIL,42,216,224,Point,"[-79.38522299936697, 40.31834000009231]"
216,LAE,"La Grande, Oregon",63276 Oregon Highway 203,Flying J Plaza,La Grande,OR,97850,BUS,41,217,225,Point,"[-118.07801800054806, 45.325919999504215]"
217,LAF,"Lafayette, Indiana",200 North 2nd St., ,Lafayette,IN,47901-1238,RAIL,18,218,226,Point,"[-86.8950349994279, 40.42108900005168]"
218,LAG,"La Grange, Illinois",25 West Burlington St., ,La Grange,IL,60525,RAIL,17,219,227,Point,"[-87.86971999957306, 41.81590299987403]"
219,LAJ,"La Junta, Colorado",1 West First St., ,La Junta,CO,81050,RAIL,08,220,228,Point,"[-103.54249600013864, 37.98806799963713]"
220,LAK,"Lakeland, Florida",600 East Main Street, ,Lakeland,FL,33801-5036,RAIL,12,221,229,Point,"[-81.95161400029725, 28.045654000662296]"
221,LAP,"La Plata, Missouri",535 N. Owensby St.,R.R. #1,La Plata,MO,63549,RAIL,29,222,230,Point,"[-92.48530600017887, 40.031405999762875]"
222,LAS,"Las Vegas International Airport, Nevada",5757 Wayne Newton Blvd,McCarran International Airport,Las Vegas,NV,89111-5000,BUS,32,223,231,Point,"[-115.14891390497216, 36.09785689384755]"
223,LAU,"Laurel, Mississippi",230 North Maple Street, ,Laurel,MS,39440,RAIL,28,224,232,Point,"[-89.12783800031102, 31.69239000071758]"
224,LAX,"Los Angeles, California",800 North Alameda Street,Los Angeles Union Passenger Terminal,Los Angeles,CA,90012-2902,RAIL,06,225,233,Point,"[-118.2365339996265, 34.0562970002306]"
225,LBC,"Long Beach, California",601 North Long Beach Blvd.,Denny's Restaurant,Long Beach,CA,90802-1323,BUS,06,226,234,Point,"[-118.18856000008748, 33.77417799983731]"
226,LCA,"La Crescenta, California",Honolulu & Lowell Avenue,Near I-210,La Crescenta,CA,91214,BUS,06,227,236,Point,"[-118.26532699964079, 34.23068599973605]"
227,LCH,"Lake Charles, Louisiana",100 Ryan Street, ,Lake Charles,LA,70601-2152,RAIL,22,228,237,Point,"[-93.214995999847, 30.23808500008441]"
228,LCN,"Lincoln, Illinois",Broadway and North Chicago Sts., ,Lincoln,IL,62656,RAIL,17,229,238,Point,"[-89.36330399924087, 40.14753700032417]"
229,LCR,"Las Cruces, New Mexico",304 Wyatt Drive, ,Las Cruces,NM,88005,BUS,35,230,239,Point,"[-106.77425167236042, 32.3009632806967]"
230,LCS,"Lancaster, California",44812 Sierra Highway,Metrolink Station,Lancaster,CA,93534-3218,BUS,06,231,240,Point,"[-118.13617699996374, 34.69551100095846]"
231,LCV,"Lincolnville, Maine",2512 Atlantic Highway,US Post Office,Lincolnville,ME,04849,BUS,23,232,241,Point,"[-69.00879930061791, 44.28207136478061]"
232,LDB,"Lordsburg, New Mexico",Center St. and S.P. Blvd., ,Lordsburg,NM,88045,RAIL,35,233,242,Point,"[-108.70632200045247, 32.35058999948276]"
233,LDW,"Lindenwold, New Jersey",Station Ave & White Horse Rd West,NJ Transit/PATCO station,Somerdale,NJ,08083,OTHER,34,234,243,Point,"[-75.00187699928372, 39.83505600020628]"
234,LEE,"Lees Summit, Missouri",217 SW Main St., ,Lees Summit,MO,64063,RAIL,29,235,245,Point,"[-94.37764699993421, 38.91294499943941]"
235,LEG,"Leggett, California",69501 Highway 101 North,Price's Peg House,Leggett,CA,95585-8911,BUS,06,236,246,Point,"[-123.71117399983774, 39.85039899974701]"
236,LEV,"Leavenworth, Washington",Hwy 2 and 12th St.,Link Transit Park & Ride,Leavenworth,WA,98826,BUS,53,237,247,Point,"[-120.66032399971787, 47.59649999960203]"
237,LEW,"Lewistown, Pennsylvania",150 Helen Street, ,Lewistown,PA,17044,RAIL,42,238,248,Point,"[-77.5792160003469, 40.588584999681586]"
238,LEX,"Lexington, North Carolina (Special Stop)",Center St. and railroad tracks,Lexington Barbecue Festival,Lexington,NC,27292,RAIL,37,239,249,Point,"[-80.24999065877687, 35.8214817642388]"
239,LFT,"Lafayette, Louisiana",133 East Grant St.,100 Lee Street,Lafayette,LA,70501,RAIL,22,240,250,Point,"[-92.01459499955716, 30.22734500029406]"
240,LGM,"Longmont, Colorado",623 Main St.,Martha Martin Business Center,Longmont,CO,80501-4994,BUS,08,241,252,Point,"[-105.10146300010705, 40.16935000037077]"
241,LIB,"Libby, Montana",100 Mineral Avenue, ,Libby,MT,59923-1933,RAIL,30,242,253,Point,"[-115.54862199996003, 48.39514899997664]"
242,LIV,"Livermore, California",2500 Railroad Avenue,(Near 1st Street),Livermore,CA,94550-3011,BUS,06,243,254,Point,"[-121.73662600079781, 37.70398299996945]"
243,LKL,"Lakeland, Florida",600 East Main Street, ,Lakeland,FL,33801-5036,RAIL,12,244,255,Point,"[-81.95188386319175, 28.046777659474834]"
244,LMC,"Lemoore, California",300 E Street,Chamber of Commerce,Lemoore,CA,93245-3663,BUS,06,245,256,Point,"[-119.79754599996615, 36.286655000192766]"
245,LMN,"Lemoore (Naval Air Station), California",25th Ave and Highway 198, ,Lemoore,CA,93245,BUS,06,246,257,Point,"[-119.90634020494947, 36.37851497994826]"
246,LMR,"Lamar, Colorado",Main & Beach Streets, ,Lamar,CO,81052,RAIL,08,247,259,Point,"[-102.61829400040928, 38.08949999984717]"
247,LMY,"Lamy, New Mexico",Santa Fe County Road 33,152 Old Lamy Trail,Lamy,NM,87540,RAIL,35,248,260,Point,"[-105.88475799973949, 35.47748599993275]"
248,LNC,"Lancaster, Pennsylvania",53 McGovern Avenue, ,Lancaster,PA,17602,RAIL,42,249,261,Point,"[-76.30758699996925, 40.0538059994023]"
249,LNK,"Lincoln, Nebraska",201 North 7th St., ,Lincoln,NE,68508,RAIL,31,250,262,Point,"[-96.71081500087601, 40.81467100087388]"
250,LNN,"Lincoln, New Hampshire",Main and Franklin Sts.,Munce's Konvenience Store/Shell Station,Lincoln,NH,03251,BUS,33,251,263,Point,"[-71.67631791289263, 44.03756098850896]"
251,LNS,"East Lansing, Michigan",1240 South Harrison Road, ,East Lansing,MI,48823-5223,RAIL,26,252,264,Point,"[-84.49354600055663, 42.719081999678615]"
252,LNV,"Laughlin, Nevada",2121 S. Casino Dr.,Tropicana Express Hotel & Casino,Laughlin,NV,89029-1519,BUS,32,253,265,Point,"[-114.57385299925099, 35.157066000256116]"
253,LOD,"Lodi, California",24 South Sacramento Street, ,Lodi,CA,95240,RAIL,06,254,266,Point,"[-121.27159399938367, 38.13353999916008]"
254,LOM,"Lompoc, California",111 South I Street,Lompoc Visitor's Center,Lompoc,CA,93436,BUS,06,255,267,Point,"[-120.45683299972698, 34.64387900052303]"
255,LOR,"Lorton (Auto Train), Virginia",8006 Lorton Road, ,Lorton,VA,22079,RAIL,51,256,268,Point,"[-77.22137500039143, 38.70596300011366]"
256,LPD,"Lake Placid, New York",1 Mirror Lake Drive,Hilton Hotel,Lake Placid,NY,12946-1105,BUS,36,257,269,Point,"[-73.9845429997031, 44.282169000339344]"
257,LPE,"Lapeer, Michigan",73 Howard St., ,Lapeer,MI,48446-2515,RAIL,26,258,270,Point,"[-83.30564900015109, 43.04962899922578]"
258,LPN,"La Pine, Oregon",16515 Reed Road,Shell Station,La Pine,OR,97739,BUS,41,259,271,Point,"[-121.49914599966223, 43.67464099984223]"
259,LPS,"Lompoc-Surf, California",Ocean Ave and Park Rd, ,Surf,CA,93437,RAIL,06,260,272,Point,"[-120.60251599993148, 34.684460000345716]"
260,LRC,"Lawrence, Kansas",413 East 7th Street, ,Lawrence,KS,66044,RAIL,20,261,273,Point,"[-95.23172000029099, 38.97221800007674]"
261,LRK,"Little Rock, Arkansas",1400 West Markham Street, ,Little Rock,AR,72201,RAIL,05,262,274,Point,"[-92.28637700003526, 34.75035100007126]"
262,LSE,"LaCrosse, Wisconsin",St. Andrew and Caledonia Streets,601 St. Andrew Street,La Crosse,WI,54601,RAIL,55,263,275,Point,"[-91.24670483233798, 43.83321434002153]"
263,LSV,"Las Vegas, New Mexico",Railroad & Lincoln Streets, ,Las Vegas,NM,87701,RAIL,35,264,276,Point,"[-105.21214299973876, 35.59330000057213]"
264,LTL,"Littleton, New Hampshire",336 Cottage St.,Irving Gas Station,Littleton,NH,03561-4118,BUS,33,265,277,Point,"[-71.7690841025905, 44.29253862400377]"
265,LTR,"Littlerock, California",7715 Pearblossom Hwy,Come & Save Market,Littlerock,CA,93543-3038,BUS,06,266,278,Point,"[-117.99193505827341, 34.52158708550468]"
266,LTV,"Laytonville, California",44900 Highway 101,Park N Takit Market,Laytonville,CA,95454,BUS,06,267,279,Point,"[-123.47941600116066, 39.68565400052295]"
267,LVL,"Louisville, Kentucky",720 West Muhammad Ali Blvd.,Greyhound Station,Louisville,KY,40203-1917,BUS,21,268,280,Point,"[-85.76339700052672, 38.25200300005111]"
268,ABE,"Aberdeen, Maryland",18 East Bel Air Ave., ,Aberdeen,MD,21001-3701,RAIL,24,269,281,Point,"[-76.16301000015268, 39.509460000582926]"
269,ABN,"Absecon, New Jersey",Shore Road and Ohio Ave, ,Absecon,NJ,08201,OTHER,34,270,282,Point,"[-74.50753799981602, 39.42869600019598]"
270,ABQ,"Albuquerque, New Mexico",320 First Street SW, ,Albuquerque,NM,87102,RAIL,35,271,283,Point,"[-106.64697999963681, 35.082935000184776]"
271,ACA,"Antioch-Pittsburg, California",100 I Street, ,Antioch,CA,94509-1122,RAIL,06,272,284,Point,"[-121.81513200040061, 38.01808499973656]"
272,ACY,"Atlantic City, New Jersey",1 Atlantic City Expressway,New Jersey Transit Station,Atlantic City,NJ,08401-4106,OTHER,34,273,285,Point,"[-74.4398650007184, 39.363003000678745]"
273,ADM,"Ardmore, Oklahoma",251 East Main St., ,Ardmore,OK,73401-7016,RAIL,40,274,287,Point,"[-97.12541199975833, 34.1719129996831]"
274,AHL,"Ashland, Oregon",585 Siskiyou Blvd,Safeway Market,Ashland,OR,97520,BUS,41,275,288,Point,"[-122.69702100025516, 42.1881179998295]"
275,AKY,"Ashland, Kentucky",99 15th Street, ,Ashland,KY,41101,RAIL,21,276,289,Point,"[-82.63947300013942, 38.480929999580944]"
276,ALB,"Albany/Rensselaer, New York",525 East St., ,Rensselaer,NY,12144-2310,RAIL,36,277,290,Point,"[-73.74125700003665, 42.64164700025303]"
277,ALC,"Alliance, Ohio",820 East Main Street, ,Alliance,OH,44601,RAIL,39,278,291,Point,"[-81.0958100002869, 40.92178699933831]"
278,ALD,"Alderson, West Virginia",1 C&O Plaza on Railroad Plaza, ,Alderson,WV,24910,RAIL,54,279,292,Point,"[-80.64464599978614, 37.72423900006935]"
279,ALI,"Albion, Michigan",300 North Eaton St., ,Albion,MI,49224,RAIL,26,280,293,Point,"[-84.75632499991734, 42.24737499962787]"
280,ALN,"Alton, Illinois",3400 College Ave., ,Alton,IL,62002-5000,RAIL,17,281,294,Point,"[-90.13494899948182, 38.904491000259874]"
281,ALP,"Alpine, Texas",102 West Holland Ave., ,Alpine,TX,79830,RAIL,48,282,295,Point,"[-103.66104100071279, 30.357159000680213]"
282,ALT,"Altoona, Pennsylvania",1231 11th Avenue, ,Altoona,PA,16601,RAIL,42,283,296,Point,"[-78.40099300047605, 40.514781999857185]"
283,ALX,"Alexandria, Virginia",110 Callahan Drive, ,Alexandria,VA,22301-2752,RAIL,51,284,297,Point,"[-77.06264500015442, 38.80624400023056]"
284,ALY,"Albany, Oregon",110 10th Ave SW, ,Albany,OR,97321-2457,RAIL,41,285,298,Point,"[-123.09964799918059, 44.630755999843025]"
285,AMM,"Amherst, Massachusetts",13 Railroad St., ,Amherst,MA,01002-2318,RAIL,25,286,299,Point,"[-72.5119250005386, 42.374858999467904]"
286,AMS,"Amsterdam, New York",Railroad St. & West Main Ave.,Route 5 West,Amsterdam,NY,12010,RAIL,36,287,300,Point,"[-74.20952599972874, 42.94747899942431]"
287,ANA,"Anaheim, California",2150 East Katella Avenue, ,Anaheim,CA,92806,RAIL,06,288,301,Point,"[-117.88481900056397, 33.80425999985717]"
288,APP,"Appleton, Wisconsin",100 East Washington St.,Appleton Transit Center,Appleton,WI,54911-5448,BUS,55,289,302,Point,"[-88.4056470000908, 44.265942000544676]"
289,ARB,"Ann Arbor, Michigan",325 Depot Street, ,Ann Arbor,MI,48104,RAIL,26,290,303,Point,"[-83.744026000012, 42.28805199920901]"
290,ARC,"Arcata (Transit Center), California",925 E Street,Transit Center,Arcata,CA,95521-6239,BUS,06,291,304,Point,"[-124.08393899996747, 40.8675730006054]"
291,ARD,"Ardmore, Pennsylvania",Station Road and Lancaster Ave., ,Ardmore,PA,19003,RAIL,42,292,305,Point,"[-75.28944400010164, 40.00726299994298]"
292,ARK,"Arkadelphia, Arkansas",798 South 5th St., ,Arkadelphia,AR,71923-6237,RAIL,05,293,307,Point,"[-93.05244400045271, 34.11437600047518]"
293,ARN,"Auburn, California",277 Nevada St. at Fulweiler St., ,Auburn,CA,95603,RAIL,06,294,308,Point,"[-121.08203099968232, 38.90418200023972]"
294,ART,"Astoria, Oregon (Buses-Transit Center)",900 Marine Drive,Astoria Intermodal Terminal,Astoria,OR,97103,BUS,41,295,309,Point,"[-123.83355303699393, 46.18996473293896]"
295,ASD,"Ashland, Virginia",112 North Railroad Avenue, ,Ashland,VA,23005,RAIL,51,296,310,Point,"[-77.48167400008602, 37.759234999646004]"
296,ATA,"Atascadero, California",6910 El Camino Real,Denny's Restaurant,Atascadero,CA,93422,BUS,06,297,311,Point,"[-120.66551079311662, 35.48639537929634]"
297,ATL,"Atlanta, Georgia","1688 Peachtree Street, NW",intersection of Deering Road,Atlanta,GA,30309,RAIL,13,298,312,Point,"[-84.39178499968179, 33.79956399985114]"
298,ATN,"Anniston, Alabama",126 West 4th St, ,Anniston,AL,36201,RAIL,01,299,313,Point,"[-85.83188599958402, 33.64899800027232]"
299,ATO,"Atco, New Jersey",Cooper Rd and Raritan Ave,New Jersey Transit station,Atco,NJ,08004,OTHER,34,300,314,Point,"[-74.89346906627932, 39.77452952232848]"
300,AUS,"Austin, Texas",250 North Lamar Blvd., ,Austin,TX,78703,RAIL,48,301,316,Point,"[-97.75556900011931, 30.269093000305563]"
301,BAK,"Baker City, Oregon",515 Campbell Street,Baker Truck Corral,Baker City,OR,97814,BUS,41,302,317,Point,"[-117.81132500017195, 44.782054999605464]"
302,BAL,"Baltimore (Penn Station), Maryland",1515 North Charles Street,Penn Station,Baltimore,MD,21201-5893,RAIL,24,303,318,Point,"[-76.61747700085026, 39.30812100047038]"
303,BAM,"Bangor, Michigan",541 Railroad St., ,Bangor,MI,49013-1464,RAIL,26,304,319,Point,"[-86.11187000039013, 42.31418600020322]"
304,BAN,"Bangor, Maine",1039 Union St.,Bangor Transportation Center,Bangor,ME,04401-3011,BUS,23,305,320,Point,"[-68.81315624795211, 44.818427806177105]"
305,BAR,"Barstow (Amtrak), California",685 North First Avenue, ,Barstow,CA,92311,RAIL,06,306,321,Point,"[-117.02535199960835, 34.904800000064]"
306,BAT,"Bath, Maine",10 State Rd,"Mail It 4 U - Suite 9, Coastal Plaza",Bath,ME,04530-6018,BUS,23,307,323,Point,"[-69.8208774304746, 43.91347114356933]"
307,BBY,"Boston (Back Bay), Massachusetts",145 Dartmouth St., ,Boston,MA,02116-5162,RAIL,25,308,324,Point,"[-71.0763549996232, 42.34730499981341]"
308,BDT,"Bradenton, Florida",1115 Manatee Avenue West,Manatee County Courthouse,Bradenton,FL,34205-7803,BUS,12,309,325,Point,"[-82.47067299965347, 27.4903959997196]"
309,BEL,"Bellingham, Washington",401 Harris Avenue, ,Bellingham,WA,98225,RAIL,53,310,327,Point,"[-122.50988800088953, 48.72048600029622]"
310,BEN,"Benson, Arizona",105 E. 4th Street, ,Benson,AZ,85602-6611,RAIL,04,311,328,Point,"[-110.29398299980262, 31.968167999945983]"
311,BER,"Berlin, Connecticut",51 Depot Road, ,Kensington,CT,06037,RAIL,09,312,329,Point,"[-72.76572399924645, 41.63552500051042]"
312,BET,"South Beloit, Illinois",15766 Manchester Road,McDonald?s/BP Amoco Travel Plaza,South Beloit,IL,61080-9723,BUS,17,313,330,Point,"[-88.98913364144295, 42.49005782629265]"
313,BFD,"Bakersfield, California",601 Truxtun Ave,Off Truxtun Ave and S Street,Bakersfield,CA,93301-5319,RAIL,06,314,332,Point,"[-119.02246100015934, 35.37138000077779]"
314,BFT,"Belfast, Maine",Belmont Ave & US Hwy 1,Big Apple Conv Store/CITGO Station,Belfast,ME,04915,BUS,23,315,333,Point,"[-69.02155000572701, 44.42352001547605]"
315,BFX,"Buffalo (Exchange St), New York",75 Exchange Street, ,Buffalo,NY,14203,RAIL,36,316,334,Point,"[-78.87506100082294, 42.878483000205016]"
316,BGP,"Big Rapids, Michigan",14342 Northland Dr.,Ferris State Fitness Center,Big Rapids,MI,49307-2373,BUS,26,317,335,Point,"[-85.48204800066324, 43.698318000051856]"
317,BHM,"Birmingham, Alabama",1819 Morris Ave., ,Birmingham,AL,35203-3109,RAIL,01,318,336,Point,"[-86.80702999931349, 33.512393999975906]"
318,BIN,"Berlin, New Hampshire",318 Glen Ave,Irving Mainway,Berlin,NH,03570-1900,BUS,33,319,337,Point,"[-71.18725738439002, 44.4591318339243]"
319,BKY,"Berkeley, California",University Ave. and Third St.,Underneath Overpass,Berkeley,CA,94710,RAIL,06,320,339,Point,"[-122.29999499982118, 37.86760300085037]"
320,BLD,"Boulder, Colorado",30th & Diagonal Highway,BP/Amoco Gas Station,Boulder,CO,80302,BUS,08,321,340,Point,"[-105.28118099969035, 40.0583949998547]"
321,BLF,"Bellows Falls, Vermont",54 Depot St, ,Bellows Falls,VT,05101-1356,RAIL,50,322,341,Point,"[-72.44544999919546, 43.13582600016047]"
322,BMM,"Birmingham, Michigan",449 South Eton St., ,Birmingham,MI,48009-6573,RAIL,26,323,342,Point,"[-83.19529699968415, 42.54572300029878]"
323,BMT,"Beaumont, Texas",2555 W. Cedar Street, ,Beaumont,TX,77704,RAIL,48,324,343,Point,"[-94.12296299897474, 30.07690599990217]"
324,BNC,"Burlington, North Carolina",101 North Main Street, ,Burlington,NC,27217,RAIL,37,325,344,Point,"[-79.4362870004641, 36.09417700062097]"
325,BNG,"Bingen-White Salmon, Washington",Hwy 14 and Walnut St., ,Bingen,WA,98605,RAIL,53,326,345,Point,"[-121.46909300017256, 45.71538499959463]"
326,BNL,"Bloomington-Normal, Illinois",100 East Parkinson St., ,Normal,IL,61761-3015,RAIL,17,327,346,Point,"[-88.98403899992098, 40.508347000409316]"
327,BNS,"Burns, Oregon",63 N. Buena Vista,Figaro's Italian Kitchen,Burns,OR,97720,BUS,41,328,347,Point,"[-119.05339099970804, 43.59040100007118]"
328,BOI,"Boise, Idaho",1212 West Bannock St.,Greyhound Station,Boise,ID,83702-5619,BUS,16,329,348,Point,"[-116.20610799974709, 43.619469000686934]"
329,BON,"Boston (North Station), Massachusetts",100 Legends Way, 126 Causeway Street,Boston,MA,02114-1300,RAIL,25,330,349,Point,"[-71.06214500019968, 42.36538900012623]"
330,BOS,"Boston (South Station), Massachusetts",2 South Station,Summer St & Atlantic Ave.,Boston,MA,02110,RAIL,25,331,350,Point,"[-71.05529799978162, 42.35152400028813]"
331,BRA,"Brattleboro, Vermont",10 Vernon Rd, ,Brattleboro,VT,05301-3389,RAIL,50,332,351,Point,"[-72.55035399953522, 42.8386960003799]"
332,BRH,"Brookhaven, Mississippi",East Monticello St. and South Railroad Ave., ,Brookhaven,MS,39601,RAIL,28,333,352,Point,"[-90.44212299979685, 31.578757999651202]"
333,BRK,"Brunswick, Maine",101 Bath Rd.,Mobil Mart/Puffin Shop,Brunswick,ME,04011-2214,BUS,23,334,353,Point,"[-69.93503178484188, 43.90717296620538]"
334,BRL,"Burlington, Iowa",300 South Main Street, ,Burlington,IA,52601,RAIL,19,335,354,Point,"[-91.1019820000182, 40.805943000080376]"
335,BRO,"Browning, Montana",Heart Butte Rd and Depot Rd., ,Browning,MT,59417,RAIL,30,336,355,Point,"[-113.01084100054254, 48.53329500060142]"
336,BRP,"Bridgeport, Connecticut",525 Water St.,Metro North Station,Bridgeport,CT,06604-4315,RAIL,09,337,356,Point,"[-73.18740099997197, 41.17674599981253]"
337,BSV,"Brownsville, Texas",1134 E. St. Charles Street, ,Brownsville,TX,78520-5042,BUS,48,338,357,Point,"[-97.4994510005055, 25.899884999335843]"
338,BTL,"Battle Creek, Michigan",104 Capital Ave. S.W., ,Battle Creek,MI,49017-3535,RAIL,26,339,358,Point,"[-85.18569199988647, 42.31697500018785]"
339,BTR,"Baton Rouge, Louisiana",1253 Florida St., ,Baton Rouge,LA,70802,BUS,22,340,359,Point,"[-91.17659799979333, 30.44965700023856]"
340,BUF,"Buffalo (Depew), New York",55 Dick Road, ,Depew,NY,14043,RAIL,36,341,360,Point,"[-78.7266080005241, 42.90691799926594]"
341,BUL,"Buellton, California",238 E Highway 246,Burger King Restaurant,Buellton,CA,93427,BUS,06,342,361,Point,"[-120.19338200034662, 34.61134000004903]"
342,BUR,"Burbank (Airport), California",3750 Empire Avenue, ,Burbank,CA,91505,RAIL,06,343,362,Point,"[-118.35591100005385, 34.193832000045234]"
343,BWI,"BWI Rail Station at Thurgood Marshall Airport, Mar",7 Amtrak Way,BWI Thurgood Marshall Airport,BWI Airport,MD,21240-0642,RAIL,24,344,364,Point,"[-76.69339800030663, 39.18955199912031]"
344,BWW,"Brewster, Washington",405 Highway 97,Triangle Texaco,Brewster,WA,98812,BUS,53,345,365,Point,"[-119.78369975894391, 48.102833909910004]"
345,BYC,"Boyne City, Michigan",1000 East Division St.,McDonalds's Restaurant,Boyne City,MI,49712-9609,BUS,26,346,366,Point,"[-85.02664899965502, 45.204841999902655]"
346,BYN,"Bryan, Ohio",Page and Lynn Street, ,Bryan,OH,43506,RAIL,39,347,368,Point,"[-84.55275000026086, 41.48034700001424]"
347,CAM,"Camden, South Carolina",1060 West Dekalb Street, ,Camden,SC,29020,RAIL,45,348,369,Point,"[-80.62615999894895, 34.247349000205844]"
348,CAS,"Casper, Wyoming",123 West E St.,Parkway Plaza Hotel,Casper,WY,82601-1818,BUS,56,349,370,Point,"[-106.32566113224793, 42.85613291696906]"
349,CAY,"Conway, New Hampshire",392 West Main St.,First Stop Market & Deli,Conway,NH,03818,BUS,33,350,371,Point,"[-71.12674214440827, 43.97837906793784]"
350,CBO,"Cannon Beach, Oregon",1170 South Hemlock Street,Family Market,Cannon Beach,OR,97110,BUS,41,351,372,Point,"[-123.9622121253345, 45.88980436817779]"
351,CBR,"Cleburne, Texas",206 North Border St.,Cleburne Intermodal Depot,Cleburne,TX,76031-4236,RAIL,48,352,373,Point,"[-97.38165999996679, 32.34833500018356]"
352,CBS,"Columbus, Wisconsin",359 North Ludington Street, ,Columbus,WI,53925,RAIL,55,353,374,Point,"[-89.01248199923258, 43.34066799955614]"
353,CBY,"Coos Bay, Oregon",275 N. Broadway,Porter Stages Lines Bus Station,Coos Bay,OR,97420,BUS,41,354,375,Point,"[-124.21198999982762, 43.366646000091514]"
354,CDL,"Carbondale, Illinois",401 South Illinois St., ,Carbondale,IL,62901,RAIL,17,355,376,Point,"[-89.2163699997818, 37.724087000689224]"
355,CDN,"Camden/Rockport, Maine",234 Park St.,Maritime Farms,Rockport,ME,04856-5508,BUS,23,356,377,Point,"[-69.10786959119696, 44.19196853218937]"
356,CEN,"Centralia, Illinois",108 East Broadway, ,Centralia,IL,62801-3272,RAIL,17,357,378,Point,"[-89.13619200007666, 38.52777099943762]"
357,CFX,"Colfax, Washington",610 South Main St.,Ace Hardware,Colfax,WA,99111,BUS,53,358,379,Point,"[-117.3636549996637, 46.87592700019818]"
358,CHI,"Chicago (Union Station), Illinois",225 South Canal Street, ,Chicago,IL,60606,RAIL,17,359,380,Point,"[-87.63916799994469, 41.87873100007758]"
359,CHM,"Champaign-Urbana, Illlinois",45 East University Ave.,2nd floor,Champaign,IL,61820-4046,RAIL,17,360,381,Point,"[-88.24092899995142, 40.11619599937615]"
360,CHS,"Charleston, South Carolina",4565 Gaynor Avenue, ,North Charleston,SC,29405,RAIL,45,361,382,Point,"[-79.99890099962717, 32.87553399969626]"
361,CHW,"Charleston, West Virginia",350 MacCorkle Avenue - Southeast, ,Charleston,WV,25314,RAIL,54,362,383,Point,"[-81.64672099945675, 38.35198999968145]"
362,CHY,"Cheyenne, Wyoming",222 Deming Drive,Union Bus Station,Cheyenne,WY,82007,BUS,56,363,384,Point,"[-104.80518299949827, 41.12158199976622]"
363,CIC,"Chico, California",West 5th and Orange Streets, ,Chico,CA,95926,RAIL,06,364,385,Point,"[-121.84471899973495, 39.72330899993587]"
364,CIN,"Cincinnati, Ohio",1301 Western Ave.,Cincinnati Union Terminal,Cincinnati,OH,45203-1130,RAIL,39,365,386,Point,"[-84.53652999972785, 39.10237900041605]"
365,CLA,"Claremont, New Hampshire",Plains Rd. and Maple Ave., ,Claremont,NH,03743,RAIL,33,366,388,Point,"[-72.37930299971201, 43.36878599980266]"
366,CLB,"Columbia, South Carolina",850 Pulaski Street, ,Columbia,SC,29201,RAIL,45,367,389,Point,"[-81.04057300040321, 33.993716999706365]"
367,CLC,"Cadillac, Michigan",1202 North Mitchell St.,Cadillac/ Wexford Transit,Cadillac,MI,49601-1261,BUS,26,368,390,Point,"[-85.40669299912466, 44.268393999926055]"
